product_id,product_name,product_category,product_price,scrapy_datetime,style_id,color_id,color_name,Fit,Composition,Size
0985159001,Skinny Jeans,men_jeans_skinny,$ 29.99,2023-10-03 22:04:35:,0985159,001,Dark gray,Skinny fit,"Cotton 99%, Spandex 1%","The model is 188cm/6'2"" and wears a size 32/32"
0985159001,Skinny Jeans,men_jeans_skinny,$ 29.99,2023-10-03 22:04:35:,0985159,001,Black,Skinny fit,"Cotton 99%, Spandex 1%","The model is 187cm/6'2"" and wears a size 31/32"
0985159001,Skinny Jeans,men_jeans_skinny,$ 29.99,2023-10-03 22:04:35:,0985159,001,Denim blue,Skinny fit,"Cotton 99%, Spandex 1%","The model is 187cm/6'2"" and wears a size 31/32"
0985159001,Skinny Jeans,men_jeans_skinny,$ 29.99,2023-10-03 22:04:35:,0985159,001,Dark gray,Skinny fit,"Cotton 99%, Spandex 1%","The model is 187cm/6'2"" and wears a size 31/32"
0985159001,Skinny Jeans,men_jeans_skinny,$ 29.99,2023-10-03 22:04:35:,0985159,001,Dark blue,Skinny fit,"Cotton 99%, Spandex 1%","The model is 187cm/6'2"" and wears a size 31/32"
0985159001,Skinny Jeans,men_jeans_skinny,$ 29.99,2023-10-03 22:04:35:,0985159,001,Dark denim blue,Skinny fit,"Cotton 99%, Spandex 1%","The model is 187cm/6'2"" and wears a size 31/32"
0985159001,Skinny Jeans,men_jeans_skinny,$ 29.99,2023-10-03 22:04:35:,0985159,001,Denim blue,Skinny fit,"Cotton 99%, Spandex 1%","The model is 187cm/6'2"" and wears a size 31/32"
0985159001,Skinny Jeans,men_jeans_skinny,$ 29.99,2023-10-03 22:04:35:,0985159,001,Dark gray,Skinny fit,"Cotton 99%, Spandex 1%","The model is 187cm/6'2"" and wears a size 31/32"
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Denim blue,Regular fit,"Cotton 98%, Spandex 2%","The model is 185cm/6'1"" and wears a size 31/32"
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Dark gray,Regular fit,"Cotton 98%, Spandex 2%","The model is 185cm/6'1"" and wears a size 31/32"
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Dark blue,Regular fit,"Cotton 98%, Spandex 2%","The model is 185cm/6'1"" and wears a size 31/32"
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Dark denim blue,Regular fit,"Cotton 98%, Spandex 2%","The model is 185cm/6'1"" and wears a size 31/32"
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Black,Regular fit,"Cotton 98%, Spandex 2%","The model is 185cm/6'1"" and wears a size 31/32"
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Light gray,Regular fit,"Cotton 98%, Spandex 2%","The model is 185cm/6'1"" and wears a size 31/32"
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Light denim blue,Regular fit,"Cotton 98%, Spandex 2%","The model is 185cm/6'1"" and wears a size 31/32"
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Vintage black,Regular fit,"Cotton 98%, Spandex 2%","The model is 185cm/6'1"" and wears a size 31/32"
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Light denim blue,Regular fit,"Cotton 99%, Spandex 1%",
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Denim blue,Regular fit,"Cotton 99%, Spandex 1%",
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Dark gray,Regular fit,"Cotton 99%, Spandex 1%",
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Dark blue,Regular fit,"Cotton 99%, Spandex 1%",
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Black,Regular fit,"Cotton 99%, Spandex 1%",
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Light gray,Regular fit,"Cotton 99%, Spandex 1%",
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Light denim blue,Regular fit,"Cotton 99%, Spandex 1%",
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Vintage black,Regular fit,"Cotton 99%, Spandex 1%",
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Light denim blue,Regular fit,"Cotton 99%, Spandex 1%","The model is 185cm/6'1"" and wears a size 31/32"
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Denim blue,Regular fit,"Cotton 99%, Spandex 1%","The model is 185cm/6'1"" and wears a size 31/32"
1008549001,Straight Regular Jeans,men_jeans_regular,$ 29.99,2023-10-03 22:04:35:,1008549,001,Dark gray,Regular fit,"Cotton 99%, Spandex 1%","The model is 185cm/6'1"" and wears a size 31/32"
